N:KQJT87.J98.A.Q63 2.432.K9652.AK52 A43.K5.QJ873.T97 965.AQT76.T4.J84
N:AKQJ72.T5.AK6.T6 954.A63.J75.A987 T863.J94.83.KQ53 .KQ872.QT942.J42
N:AKT876.Q943.6.Q6 J.J.AJT987.J9842 Q53.AT8.KQ5.AT75 942.K7652.432.K3
N:AKJ8742.AK8632.. T.5.QJT8753.AQT5 653.Q74.A92.K643 Q9.JT9.K64.J9872
N:AKQT6.AT.QT9.AQ4 8732.9.8542.9732 J954.K7542.K7.K8 .QJ863.AJ63.JT65
N:AK863.QJT6.Q.K65 JT754.8742.2.J43 Q92.AK953.AK975. ..JT8643.AQT9872
N:AKQ874.K6.K86.54 T953.82.QT2.J763 J62.A943.A743.K2 .QJT75.J95.AQT98
N:AKJ632.2.KJT.Q43 Q98.75.85432.J86 T54.K43.97.AK952 7.AQJT986.AQ6.T7
N:AKJ53.6.A654.K85 98.J9732.QJT98.6 Q64.AKT5..AQJT42 T72.Q84.K732.973
N:JT653.K7.K8.KQ73 8.QJ95.QJ9762.T9 AKQ9742..AT43.A2 .AT86432.5.J8654
N:KJ985.K76.AT.AT5 A7642.5.J7653.64 QT3.AJ432.KQ942. .QT98.8.KQJ98732
N:J9542.AK2.2.AT98 KT8.93.K973.KQ74 A73.4.AQT8654.J6 Q6.QJT8765.J.532
N:KT972.AQ32.7.K63 4.75.5.AJT987542 QJ6.KT96.QT984.Q A853.J84.AKJ632.
N:KJT52.AQ8.K3.A92 9873.972.J4.K875 AQ6.KJT6543.A8.3 4..QT97652.QJT64
N:AKQ64..A965.KJ54 32.K3.K2.QT87632 JT985.6.QJT73.A9 7.AQJT987542.84.
N:KQ653.653.A76.Q5 972.A74.KJT982.A JT4.82.Q3.K98642 A8.KQJT9.54.JT73
N:AQ972.872.K84.QJ T654.K93.AJ6.K87 KJ83.QJ.Q9532.65 .AT654.T7.AT9432
N:AJ532.A65.J5.AK4 T964.QT.QT73.J86 KQ87.J4.AK9864.T .K98732.2.Q97532
N:KJT982.A5.KJ65.5 54.97432.AT872.7 Q763.J8.Q943.Q43 A.KQT6..AKJT9862
N:AJT43.KT.Q74.J98 .A87543.J96.A654 KQ987652..AK853. .QJ962.T2.KQT732
N:AKQT6.8.KJ93.A93 95.KT965.A762.Q7 J742.AQJ7.8.J842 83.432.QT54.KT65
N:K7652.J32.A43.AT QJ4.854.QJ987.87 T93.K7.KT5.QJ653 A8.AQT96.62.K942
N:AJT843.KQ6.QJ4.A Q6.94.K763.KJ764 K97.872.AT852.92 52.AJT53.9.QT853
N:KQ872.AJ75.3.K53 J965.KT4.K4.9872 AT4.Q92.852.QJT6 3.863.AQJT976.A4
N:KQT75.AQ64.T8.A8 964.983.KQJ.QT64 AJ82.KJT752.3.95 3..A976542.KJ732
N:AJT76543.AKQ62.. Q2.874.AQ985.A32 K98.JT93.42.QJ96 .5.KJT763.KT8754
N:A9753.KJ5.QJ92.K QJT4.6.T743.T965 K62.Q73.A8.AQ873 8.AT9842.K65.J42
N:KQJT74.T8.KT.A98 863.J.J98753.JT6 A952.AK5432.Q.Q5 .Q976.A642.K7432
N:KQJ75.KJ9.A7.A96 2.A7.JT942.QT842 AT94.65.Q86.J753 863.QT8432.K53.K
N:QJ9642.AT.82.A94 T5.K5.J96.KJT865 AK873.J8.AQ5.Q73 .Q976432.KT743.2
N:AKT53.62.5.AKT63 J.AKJ.AKJT4.9842 Q64.Q83.Q93.QJ75 9872.T9754.8762.
